CUSIP,Principal
912797GN1,0.36
912797JE8,0.57
912796Z28,0.75
912797JF5,3.01
912797GP6,4574432.41
912797JG3,0.36
912797GQ4,0.25
912797JH1,0.24
912797GX9,0.21
912797JJ7,0.22
912797LL9,0.23
912797JK4,0.3
912797GY7,0.32
912797JL2,0.45
912797GZ4,0.45
912797JM0,0.85
912797HF7,1.06
912797JN8,2959366.35
912796CX5,0.47
912797JP3,0.48
912797HG5,0.42
912797JQ1,0.5
912797HH3,0.48
912797JV0,0.59
912797HQ3,0.42
912797JW8,0.37
912797FH5,0.87
912797JX6,3.39
912797HR1,1952640.28
912797JY4,0.76
912797HS9,0.36
912797JZ1,0.32
912797HT7,0.27
912797FS1,0.35
912796ZW2,0.4
912796Y45,0.45
912796Y52,0.94
912797GB7,4997768.66
912797JS7,0.33
912797JT5,0.18
912797JU2,0.2
912797GK7,0.28
912797GL5,0.13
912797GW1,0.19
912797HE0,2.39
912797HP5,0.24
912796ZV4,461276.96
912797JR9,2497770.89
912828D56,0.42
91282CCT6,0.4
91282CFG1,476152.48
9128282U3,11.56
912828YE4,20.72
91282CCX7,0.12
91282CFN6,0.2
912828YH7,0.22
9128282Y5,0.21
91282CDB4,0.43
91282CFQ9,20.97
9128283D0,12.69
912828YM6,1150702.64
912828G38,0.17
91282CDH1,0.17
91282CFX4,0.27
9128283J7,0.27
912828YV6,0.29
91282CDN8,0.73
91282CGD7,0.28
912828YY0,0.29
9128283P3,0.28
91282CDS7,0.9
91282CGG0,0.15
9128283V0,0.15
912828Z52,0.16
912828J27,0.26
91282CDZ1,0.26
91282CGN5,0.45
9128283Z1,0.45
912828ZC7,0.46
91282CED9,4643293.05
91282CGU9,0.08
912828ZF0,0.09
9128284F4,0.09
91282CEH0,0.08
91282CGX3,0.08
9128284M9,0.08
912828ZL7,0.08
912828XB1,0.08
91282CEQ0,0.08
91282CHD6,0.1
9128284R8,0.1
912828ZT0,0.1
91282CEU1,0.12
91282CHL8,0.15
912828ZW3,0.17
912828XZ8,0.15
91282CEY3,0.23
91282CHN4,0.41
912828Y79,0.43
91282CAB7,0.53
912828K74,9.43
91282CFE6,3442963.23
91282CHV6,0.05
9128284Z0,0.05
91282CAJ0,0.05
91282CFK2,0.04
91282CJB8,0.04
91282CAM3,0.04
9128285C0,0.04
91282CFP1,0.04
91282CJE2,0.04
9128285J5,0.04
91282CAT8,0.04
912828M56,0.04
91282CFW6,0.04
91282CJL6,0.04
9128285N6,0.04
91282CAZ4,0.04
91282CGA3,0.04
91282CJS1,0.04
91282CBC4,0.05
9128285T3,0.04
91282CGE5,0.05
91282CJV4,0.05
9128286A3,0.05
91282CBH3,0.06
912828P46,0.06
91282CGL9,0.06
9128286F2,0.06
91282CBQ3,0.07
91282CGR6,0.07
91282CBT7,0.08
9128286L9,0.08
91282CGV7,0.09
9128286S4,0.11
91282CBW0,0.12
912828R36,0.15
91282CHB0,0.13
91282CCF6,0.21
9128286X3,0.18
91282CHH7,0.26
91282CCJ8,0.49
9128287B0,0.36
91282CHM6,1055820.85
91282CCP4,0.05
912828Y95,0.05
9128282A7,0.06
91282CHU8,0.06
91282CCW9,0.06
912828YD6,0.06
91282CHY0,0.07
91282CCZ2,0.08
912828YG9,0.08
91282CJC6,0.09
91282CDG3,0.12
912828YQ7,0.12
912828U24,0.15
91282CJK8,0.13
91282CDK4,0.22
912828YU8,0.19
91282CJP7,0.25
91282CDQ1,0.8
912828YX2,1.05
91282CJT9,2020524.84
912828Z78,0.06
912828V98,0.06
912828ZB9,0.07
91282CEC1,0.07
91282CEF4,0.09
912828ZE3,0.1
912828ZN3,0.15
91282CEN7,0.13
912828X88,0.18
912828ZS2,0.35
91282CET4,0.27
91282CEW7,2.73
912828ZV5,1460934.9
91282CAD3,0.06
91282CFB2,0.06
9128282R0,0.06
91282CAH4,0.07
91282CFH9,0.07
91282CFM8,0.08
91282CAL5,0.09
91282CAU5,0.14
91282CFU0,0.11
9128283F5,0.16
91282CAY7,0.26
91282CFZ9,0.2
91282CGC9,0.9
91282CBB6,2764589.17
91282CBJ9,0.06
91282CGH8,0.05
9128283W8,0.06
91282CBP5,0.07
91282CGP0,0.06
91282CGT2,0.08
91282CBS9,0.09
91282CBZ3,0.14
91282CHA2,0.11
9128284N7,0.16
91282CCE9,0.28
91282CHE4,0.19
91282CHK0,0.63
91282CCH2,2673228.99
91282CHQ7,0.05
91282CCR0,0.05
9128284V9,0.06
91282CCV1,0.07
91282CHX2,0.06
91282CJA0,0.07
91282CCY5,0.09
91282CDF5,0.14
91282CJF9,0.1
9128285M8,0.15
91282CJN2,0.16
91282CDL2,0.36
91282CDP3,789935.48
91282CJR3,1.67
91282CDW8,0.05
91282CJW2,0.04
9128286B1,0.05
91282CEB3,0.06
91282CEE7,0.08
91282CEM9,0.1
9128286T2,0.12
91282CES6,0.16
91282CEV9,0.52
91282CFC0,1497117.87
912828YB0,0.03
91282CFJ5,0.03
91282CFL0,0.03
91282CFT3,0.03
912828YS3,0.03
91282CFY2,0.04
91282CGB1,0.05
91282CGJ4,0.05
912828Z94,0.06
91282CGQ8,0.06
91282CGS4,0.08
91282CGZ8,0.11
912828ZQ6,0.17
91282CHF1,0.18
91282CHJ3,0.74
91282CHR5,3930036.68
91282CAE1,0.08
91282CHW4,0.07
91282CHZ7,0.08
91282CJG7,0.12
91282CAV3,0.18
91282CJM4,0.25
91282CJQ5,193619.21
91282CJX0,0.05
91282CBL4,0.03
91282CCB5,0.05
91282CCS8,0.1
91282CDJ7,1094500.51
91282CDY4,0.1
91282CEP2,404774.97
91282CFF3,0.13
91282CFV8,2010593.65
91282CGM7,2135971.17
91282CHC8,0.07
91282CHT1,0.12
91282CJJ1,14098882.87
912810ES3,0.08
912810ET1,0.1
912810EV6,0.27
912810EW4,0.06
912810EX2,0.05
912810EY0,0.11
912810EZ7,0.05
912810FA1,0.06
912810FB9,0.12
912810FE3,0.05
912810FF0,0.13
912810FG8,0.05
912810FJ2,0.03
912810FM5,0.11
912810FP8,0.03
912810FT0,10073298.14
912810PT9,0.15
912810PU6,7863211.7
912810PW2,0.15
912810PX0,5892370.33
912810QA9,0.16
912810QB7,3962474.29
912810QC5,0.14
912810QD3,3346676.83
912810QE1,0.11
912810SR0,4319885.12
912810QH4,0.32
912810QK7,0.1
912810SQ2,0.17
912810ST6,4144184.3
912810QL5,0.34
912810QN1,0.07
912810SW9,0.18
912810SY5,1372675.71
912810QQ4,0.25
912810QS0,0.11
912810TA6,0.18
912810TC2,1188117.19
912810QT8,1.23
912810QU5,0.01
912810TF5,0.01
912810TH1,0.01
912810QW1,0.01
912810QX9,0.01
912810TK4,0.01
912810QY7,0.01
912810TM0,0.01
912810TQ1,0.0
912810QZ4,0.0
912810RB6,0.0
912810TS7,0.0
912810TU2,0.0
912810RC4,0.0
912810RD2,0.0
912810TW8,0.0
912810RE0,0.0
912810RG5,0.0
912810RH3,0.0
912810RJ9,0.0
912810RK6,0.0
912810RM2,0.0
912810RN0,0.0
912810RP5,0.0
912810RQ3,0.0
912810RS9,0.0
912810RT7,0.0
912810RU4,0.0
