
Standard & Poors 500 Index,Last: 4125.3398,Change:  -3.3902
"Date: August 24, 2022, 9:48 AM EDT",Bid: 4122,Ask: 4128.3599,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Wed Aug 24 2022,SPXW220824C01000000,0,0,3123.9,3125.4,0,0,1,0,0,1000.00,SPXW220824P01000000,0.05,0,0,0.05,0,0,0,0,1
Wed Aug 24 2022,SPXW220824C01200000,0,0,2923.9,2925.4,0,0,1,0,0,1200.00,SPXW220824P01200000,0,0,0,0.05,0,0,0,0,0
Wed Aug 24 2022,SPXW220824C01400000,0,0,2723.9,2725.4,0,0,1,0,0,1400.00,SPXW220824P01400000,0,0,0,0.05,0,0,0,0,0
Wed Aug 24 2022,SPXW220824C01600000,0,0,2523.9,2525.4,0,0,1,0,0,1600.00,SPXW220824P01600000,0,0,0,0.05,0,0,0,0,0
Wed Aug 24 2022,SPXW220824C01800000,0,0,2323.9,2325.4,0,0,1,0,0,1800.00,SPXW220824P01800000,0.05,0,0,0.05,0,0,0,0,1
Wed Aug 24 2022,SPXW220824C02000000,0,0,2123.9,2125.4,0,7.6263,1,0,0,2000.00,SPXW220824P02000000,0,0,0,0.05,0,7.5176,0,0,0
Wed Aug 24 2022,SPXW220824C02200000,0,0,1923.9,1925.4,0,6.5958,1,0,0,2200.00,SPXW220824P02200000,0,0,0,0.05,0,6.5667,0,0,0
Wed Aug 24 2022,SPXW220824C02400000,0,0,1723.9,1725.4,0,5.6546,1,0,0,2400.00,SPXW220824P02400000,0.05,0,0,0.05,0,5.6964,0,0,1
Wed Aug 24 2022,SPXW220824C02600000,0,0,1523.9,1525.4,0,4.7872,0.9999,0,0,2600.00,SPXW220824P02600000,0.05,0,0,0.05,0,4.8929,-0.0001,0,18
Wed Aug 24 2022,SPXW220824C02800000,0,0,1323.9,1325.4,0,3.981,0.9999,0,0,2800.00,SPXW220824P02800000,0.05,0,0,0.05,0,4.1453,-0.0001,0,33
Wed Aug 24 2022,SPXW220824C03000000,1127.3,0,1123.9,1125.4,0,3.2233,0.9999,0,2,3000.00,SPXW220824P03000000,0.05,0,0,0.05,0,3.4448,-0.0001,0,70
Wed Aug 24 2022,SPXW220824C03100000,0,0,1023.9,1025.4,0,2.8575,0.9998,0,0,3100.00,SPXW220824P03100000,0.05,0,0,0.05,0,3.1098,-0.0002,0,329
Wed Aug 24 2022,SPXW220824C03200000,0,0,923.9,925.4,0,2.4949,0.9998,0,0,3200.00,SPXW220824P03200000,0.05,0,0,0.05,0,2.784,-0.0002,0,1147
Wed Aug 24 2022,SPXW220824C03250000,0,0,873.9,875.4,0,2.3115,0.9998,0,0,3250.00,SPXW220824P03250000,0.05,0,0,0.05,0,2.6242,-0.0002,0,110
Wed Aug 24 2022,SPXW220824C03300000,0,0,823.9,825.4,0,2.1216,0.9998,0,0,3300.00,SPXW220824P03300000,0.05,0,0,0.05,0,2.4664,-0.0002,0,270
Wed Aug 24 2022,SPXW220824C03350000,776.5,0,773.9,775.4,0,1.9121,0.9997,0,1,3350.00,SPXW220824P03350000,0.05,0,0,0.05,0,2.3106,-0.0003,0,97
Wed Aug 24 2022,SPXW220824C03400000,731.62,0,723.9,725.4,0,0,0.9997,0,19,3400.00,SPXW220824P03400000,0.05,0,0,0.05,0,2.1564,-0.0003,0,219
Wed Aug 24 2022,SPXW220824C03450000,0,0,673.9,675.4,0,0,0.9997,0,0,3450.00,SPXW220824P03450000,0.05,0.025,0,0.05,1,2.004,-0.0003,0,2379
Wed Aug 24 2022,SPXW220824C03500000,675.06,0,623.9,625.4,0,0,0.9996,0,4,3500.00,SPXW220824P03500000,0.05,0,0,0.05,0,1.8532,-0.0004,0,8875
Wed Aug 24 2022,SPXW220824C03550000,0,0,573.9,575.4,0,0,0.9996,0,0,3550.00,SPXW220824P03550000,0.05,0,0,0.05,0,1.7037,-0.0004,0,10815
Wed Aug 24 2022,SPXW220824C03600000,0,0,523.9,525.4,0,0,0.9996,0,0,3600.00,SPXW220824P03600000,0.05,0,0,0.05,0,1.5557,-0.0004,0,17859
Wed Aug 24 2022,SPXW220824C03650000,476.5,0,473.9,475.4,0,0,0.9995,0,6,3650.00,SPXW220824P03650000,0.05,0,0,0.05,0,1.4088,-0.0005,0,1943
Wed Aug 24 2022,SPXW220824C03700000,498.1,0,423.9,425.4,0,0,0.9994,0,2,3700.00,SPXW220824P03700000,0.05,0,0,0.05,0,1.263,-0.0006,0,2716
Wed Aug 24 2022,SPXW220824C03725000,0,0,398.9,400.4,0,0,0.9994,0,0,3725.00,SPXW220824P03725000,0.05,0,0,0.05,0,1.1905,-0.0006,0,6399
Wed Aug 24 2022,SPXW220824C03750000,0,0,373.9,375.4,0,0,0.9993,0,0,3750.00,SPXW220824P03750000,0.05,0,0,0.05,0,1.1181,-0.0007,0,12516
Wed Aug 24 2022,SPXW220824C03775000,0,0,348.9,350.4,0,0,0.9993,0,0,3775.00,SPXW220824P03775000,0.05,0,0,0.05,0,1.046,-0.0007,0,1639
Wed Aug 24 2022,SPXW220824C03790000,0,0,333.9,335.4,0,0,0.9992,0,0,3790.00,SPXW220824P03790000,0.05,0,0,0.05,0,1.0028,-0.0008,0,472
Wed Aug 24 2022,SPXW220824C03800000,0,0,323.9,325.4,0,0,0.9992,0,0,3800.00,SPXW220824P03800000,0.05,0,0,0.05,5,0.974,-0.0008,0,1578
Wed Aug 24 2022,SPXW220824C03810000,0,0,313.9,315.4,0,0,0.9992,0,0,3810.00,SPXW220824P03810000,0.05,0,0,0.05,0,0.9452,-0.0008,0,1035
Wed Aug 24 2022,SPXW220824C03820000,306.9,-8.95,303.9,305.4,1,0,0.9992,0,0,3820.00,SPXW220824P03820000,0.07,0,0,0.05,0,0.9165,-0.0008,0,82
Wed Aug 24 2022,SPXW220824C03825000,313.8,0,298.9,300.4,0,0,0.9992,0,2,3825.00,SPXW220824P03825000,0.07,0,0,0.05,0,0.9021,-0.0008,0,48
Wed Aug 24 2022,SPXW220824C03830000,440.92,0,293.9,295.4,0,0,0.9991,0,1,3830.00,SPXW220824P03830000,0.07,0,0,0.05,0,0.8877,-0.0009,0,150
Wed Aug 24 2022,SPXW220824C03840000,312.2,0,283.9,285.4,0,0,0.9991,0,3,3840.00,SPXW220824P03840000,0.05,-0.025,0,0.05,1,0.859,-0.0009,0,222
Wed Aug 24 2022,SPXW220824C03850000,423.45,0,273.9,275.5,0,0,0.9991,0,8,3850.00,SPXW220824P03850000,0.07,0,0,0.05,0,0.8303,-0.0009,0,1518
Wed Aug 24 2022,SPXW220824C03860000,409.93,0,263.9,265.5,0,0,0.999,0,7,3860.00,SPXW220824P03860000,0.1,0,0,0.05,0,0.8016,-0.001,0,29
Wed Aug 24 2022,SPXW220824C03865000,274.5,0,258.9,260.5,0,0,0.999,0,4,3865.00,SPXW220824P03865000,0.1,0,0,0.05,0,0.7872,-0.001,0,132
Wed Aug 24 2022,SPXW220824C03870000,403.88,0,253.9,255.5,0,0,0.999,0,1,3870.00,SPXW220824P03870000,0.07,0,0,0.05,0,0.7728,-0.001,0,74
Wed Aug 24 2022,SPXW220824C03875000,283.64,0,248.9,250.5,0,0,0.999,0,1,3875.00,SPXW220824P03875000,0.1,0,0,0.05,0,0.7585,-0.001,0,744
Wed Aug 24 2022,SPXW220824C03880000,0,0,243.9,245.5,0,0,0.999,0,0,3880.00,SPXW220824P03880000,0.1,0,0,0.05,0,0.7441,-0.001,0,162
Wed Aug 24 2022,SPXW220824C03885000,0,0,238.9,240.5,0,0,0.9989,0,0,3885.00,SPXW220824P03885000,0.1,0,0,0.05,0,0.7298,-0.0011,0,49
Wed Aug 24 2022,SPXW220824C03890000,265.22,0,233.9,235.5,0,0,0.9989,0,1,3890.00,SPXW220824P03890000,0.1,0,0,0.05,0,0.7154,-0.0011,0,95
Wed Aug 24 2022,SPXW220824C03895000,0,0,228.9,230.5,0,0,0.9989,0,0,3895.00,SPXW220824P03895000,0.1,0,0,0.05,0,0.701,-0.0011,0,83
Wed Aug 24 2022,SPXW220824C03900000,232.72,0,223.9,225.5,0,0.7131,0.9989,0,1278,3900.00,SPXW220824P03900000,0.1,0,0,0.05,0,0.6867,-0.0011,0,3717
Wed Aug 24 2022,SPXW220824C03905000,241.3,0,218.9,220.5,0,0.6981,0.9988,0,4,3905.00,SPXW220824P03905000,0.1,0,0,0.05,0,0.6723,-0.0012,0,166
Wed Aug 24 2022,SPXW220824C03910000,221.29,0,213.9,215.5,0,0.6831,0.9988,0,31,3910.00,SPXW220824P03910000,0.05,-0.05,0,0.05,1,0.6579,-0.0012,0,46
Wed Aug 24 2022,SPXW220824C03915000,356.12,0,208.9,210.5,0,0.6681,0.9988,0.0001,2,3915.00,SPXW220824P03915000,0.1,0,0,0.05,0,0.6435,-0.0012,0.0001,51
Wed Aug 24 2022,SPXW220824C03920000,227,0,203.9,205.5,0,0.6531,0.9988,0.0001,14,3920.00,SPXW220824P03920000,0.05,-0.05,0,0.05,8,0.6292,-0.0012,0.0001,108
Wed Aug 24 2022,SPXW220824C03925000,348.8,0,198.9,200.5,0,0.638,0.9987,0.0001,2,3925.00,SPXW220824P03925000,0.15,0,0,0.05,0,0.6148,-0.0013,0.0001,189
Wed Aug 24 2022,SPXW220824C03930000,310.96,0,193.9,195.5,0,0.623,0.9987,0.0001,1,3930.00,SPXW220824P03930000,0.1,0,0,0.05,0,0.6004,-0.0013,0.0001,173
Wed Aug 24 2022,SPXW220824C03935000,0,0,188.9,190.5,0,0.608,0.9986,0.0001,0,3935.00,SPXW220824P03935000,0.12,0,0,0.05,0,0.586,-0.0014,0.0001,130
Wed Aug 24 2022,SPXW220824C03940000,0,0,183.9,185.5,0,0.593,0.9986,0.0001,0,3940.00,SPXW220824P03940000,0.15,0,0,0.05,0,0.5716,-0.0014,0.0001,233
Wed Aug 24 2022,SPXW220824C03945000,0,0,178.9,180.5,0,0.5779,0.9986,0.0001,0,3945.00,SPXW220824P03945000,0.05,-0.075,0,0.05,20,0.5571,-0.0014,0.0001,399
