
S&P 500 INDEX,Last: 4774.2402,Change:  -0.5098
"Date: December 27, 2023 at 2:36 PM EST",Bid: 4773.5298,Ask: 4775.3701,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Wed Dec 27 2023,SPXW231227C01200000,3527.04,0,3574.5,3575.4,0,0,1,0,0,1200.00,SPXW231227P01200000,0,0,0,0.05,0,0,0,0,0
Wed Dec 27 2023,SPXW231227C01400000,0,0,3374.5,3375.4,0,0,1,0,0,1400.00,SPXW231227P01400000,0,0,0,0.05,0,0,0,0,0
Wed Dec 27 2023,SPXW231227C01600000,0,0,3174.5,3175.4,0,0,1,0,0,1600.00,SPXW231227P01600000,0,0,0,0.05,0,0,0,0,0
Wed Dec 27 2023,SPXW231227C01800000,0,0,2974.5,2975.4,0,0,1,0,0,1800.00,SPXW231227P01800000,0,0,0,0.05,0,0,0,0,0
Wed Dec 27 2023,SPXW231227C02000000,2772.95,-6.5999,2774.5,2775.4,1,0,1,0,0,2000.00,SPXW231227P02000000,0.05,0,0,0.05,0,0,0,0,93
Wed Dec 27 2023,SPXW231227C02200000,0,0,2574.5,2575.4,0,0,1,0,0,2200.00,SPXW231227P02200000,0,0,0,0.05,0,0,0,0,0
Wed Dec 27 2023,SPXW231227C02400000,0,0,2374.5,2375.4,0,0,1,0,0,2400.00,SPXW231227P02400000,0.05,0,0,0.05,0,0,0,0,1
Wed Dec 27 2023,SPXW231227C02600000,2176.45,0,2174.5,2175.4,0,0,0.9999,0,9,2600.00,SPXW231227P02600000,0.05,0,0,0.05,0,0,-0.0001,0,198
Wed Dec 27 2023,SPXW231227C02800000,1968.75,0,1974.5,1975.4,0,0,0.9999,0,2,2800.00,SPXW231227P02800000,0.1,0,0,0.05,0,0,-0.0001,0,850
Wed Dec 27 2023,SPXW231227C03000000,0,0,1774.5,1775.4,0,0,0.9999,0,0,3000.00,SPXW231227P03000000,0.05,0,0,0.05,0,0,-0.0001,0,378
Wed Dec 27 2023,SPXW231227C03200000,1452.29,0,1574.5,1575.4,0,0,0.9998,0,2,3200.00,SPXW231227P03200000,0.05,0,0,0.05,0,8.3481,-0.0002,0,216
Wed Dec 27 2023,SPXW231227C03400000,0,0,1374.5,1375.4,0,7.6204,0.9998,0,0,3400.00,SPXW231227P03400000,0.05,0,0,0.05,0,7.1464,-0.0002,0,799
Wed Dec 27 2023,SPXW231227C03500000,0,0,1274.5,1275.4,0,7.0025,0.9997,0,0,3500.00,SPXW231227P03500000,0.1,0,0,0.05,0,6.5691,-0.0003,0,344
Wed Dec 27 2023,SPXW231227C03600000,0,0,1174.5,1175.4,0,6.4004,0.9997,0,0,3600.00,SPXW231227P03600000,0.05,0,0,0.05,0,6.006,-0.0003,0,2003
Wed Dec 27 2023,SPXW231227C03650000,0,0,1124.5,1125.4,0,6.1048,0.9997,0,0,3650.00,SPXW231227P03650000,0.05,0,0,0.05,0,5.7295,-0.0003,0,3599
Wed Dec 27 2023,SPXW231227C03700000,0,0,1074.5,1075.4,0,5.8128,0.9996,0,0,3700.00,SPXW231227P03700000,0.05,0,0,0.05,0,5.4561,-0.0004,0,5226
Wed Dec 27 2023,SPXW231227C03750000,970.75,0,1024.5,1025.4,0,5.5242,0.9996,0,1,3750.00,SPXW231227P03750000,0.05,0,0,0.05,0,5.1857,-0.0004,0,8184
