
Standard & Poors 500 Index,Last: 3765.79,Change:  -25.14
"Date: October 5, 2022 at 1:16 PM EDT",Bid: 3765.29,Ask: 3766.6001,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Wed Oct 05 2022,SPXW221005C01000000,0,0,2761.2,2769.6,0,0,1,0,0,1000.00,SPXW221005P01000000,0.05,0,0,0.05,0,0,0,0,1
Wed Oct 05 2022,SPXW221005C01200000,0,0,2561.2,2569.3,0,0,1,0,0,1200.00,SPXW221005P01200000,0,0,0,0.05,0,0,0,0,0
Wed Oct 05 2022,SPXW221005C01400000,0,0,2361.2,2369.4,0,0,1,0,0,1400.00,SPXW221005P01400000,0.05,0,0,0.05,0,0,0,0,2
Wed Oct 05 2022,SPXW221005C01600000,0,0,2161.2,2169.6,0,0,1,0,0,1600.00,SPXW221005P01600000,0.05,0,0,0.05,0,0,0,0,1
Wed Oct 05 2022,SPXW221005C01800000,0,0,1961.2,1969.6,0,0,1,0,0,1800.00,SPXW221005P01800000,0.05,0,0,0.05,0,0,0,0,12
Wed Oct 05 2022,SPXW221005C02000000,1793.35,0,1761.2,1769.4,0,0,0.9999,0,1,2000.00,SPXW221005P02000000,0.05,0,0,0.05,0,0,-0.0001,0,20
Wed Oct 05 2022,SPXW221005C02200000,0,0,1561.2,1569.3,0,0,0.9999,0,0,2200.00,SPXW221005P02200000,0.05,0,0,0.05,0,8.3797,-0.0001,0,315
Wed Oct 05 2022,SPXW221005C02400000,0,0,1361.2,1369.6,0,7.986,0.9999,0,0,2400.00,SPXW221005P02400000,0.05,0,0,0.05,0,7.085,-0.0001,0,96
Wed Oct 05 2022,SPXW221005C02600000,1191.9,0,1161.2,1169.6,0,6.6382,0.9998,0,3,2600.00,SPXW221005P02600000,0.05,0,0,0.05,0,5.8871,-0.0002,0,1195
Wed Oct 05 2022,SPXW221005C02700000,0,0,1062.8,1068,0,5.9999,0.9998,0,0,2700.00,SPXW221005P02700000,0,0,0,0.05,0,5.3193,-0.0002,0,0
Wed Oct 05 2022,SPXW221005C02800000,0,0,962.8,968,0,5.3826,0.9997,0,0,2800.00,SPXW221005P02800000,0.2,0,0,0.05,0,4.7697,-0.0003,0,902
Wed Oct 05 2022,SPXW221005C02900000,0,0,862.8,868,0,4.7842,0.9996,0,0,2900.00,SPXW221005P02900000,0.05,0,0,0.05,0,4.2367,-0.0004,0,409
